name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Peregrine's Pianos,137a Gray's Inn Road,Camden,,Camden,www.peregrines-pianos.com,5076021,E09000007,Holborn & Covent Garden,E05013662,51.5236337,-0.114343599,530914.2647,182209.0598
Soundstage Studio,"Unit 1, 30 Gorst Road",Ealing,,Ealing,http://soundstagestudios.co.uk/,12017372,E09000009,North Acton,E05013527,51.52672154,-0.262433209,520633.1491,182298.1567
Engine Rooms Rehearsal Studios,30 Bow Triangle Business Centre,Eleanor Street,Tower Hamlets,Tower Hamlets,www.engineroomsstudios.com,6074717,E09000030,Bromley South,E05009322,51.52339135,-0.021564604,537350.9537,182352.089
Vatican Studios,Railway Arch 190 Bancroft Road,Tower Hamlets,,Tower Hamlets,www.thevatican.biz,6036377,E09000030,Bethnal Green,E05009317,51.52536155,-0.046277931,535630.7636,182525.1463
Urdang2,Urdang Academy Old Finsbury Town Hall,Rosebery Avenue,,Islington,www.theurdanacademy.com,5300079780,E09000019,Clerkenwell,E05013702,51.52651965,-0.106467414,531452.3229,182544.087
Musica Nova,88 Cromer Street,Camden,,Camden,http://www.musicanova.org.uk/about_us/rehearsal-studios/,5087725,E09000007,King's Cross,E05013666,51.52739688,-0.12074845,530459.2112,182616.1004
Rooz Studios,35 Corsham Street ,,,Hackney,www.roozstudios.co.uk,10008332356,E09000012,Hoxton West,E05009378,51.52718185,-0.085764051,532886.4761,182655.111
Premises Studios,209 Hackney Road,Hackney,,Hackney,www.premisesstudios.com,10008340948,E09000012,Haggerston,E05009375,51.53109,-0.07156,533860.2529,183115.6054
Hoxton Hall,130 Hoxton Street,Hackney,,Hackney,www.hoxtonhall.co.uk,10008342751,E09000012,Hoxton East & Shoreditch,E05009377,51.53177,-0.08001,533272.1998,183175.79
Studio 3 Arts ,Boundary Road Barking,,,Barking and Dagenham,www.studio3arts.org.uk,100053573,E09000002,Gascoigne,E05014061,51.53054,0.08025,544391.1956,183342.972
John Henry,16-24 Brewery Road ,,,Islington,www.johnhenrys.com,5300011664,E09000019,Caledonian,E05013700,51.54537,-0.12053,530422.998,184615.1174
