name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Air Edel Recording Studios Ltd,18 Rodmarton Street,City Of Westminster,,Westminster,www.air-edelstudios.com,1.00E+11,E09000033,Marylebone,E05013801,51.51777485,-0.15594308,528044.9524,181484.0135
Fx Rentals Ltd,38-40 Telford Way,Ealing,,Ealing,http://www.fxgroup.net,12117562,E09000009,East Acton,E05013522,51.52001731,-0.2530731,521300.2246,181568.0774
Studio 308,Westbourne Studios,242 Acklam Road,,Kensington and Chelsea,www.electricmastering.com,217115482,E09000020,Golborne,E05009396,51.52093778,-0.201514665,524874.6023,181757.0582
Broadley Studio Ltd,48 Broadley Terrace,City Of Westminster,,Westminster,www.broadley.tv,10033600876,E09000033,Regent's Park,E05013805,51.52353262,-0.165240122,527383.8747,182108.076
Strongroom Bar And Kitchen,120-124 Curtain Road,Hackney,,Hackney,http://www.strongroombar.com,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.52549931,-0.078538806,533392.5583,182481.1587
Produbbing,"Unit 17, The Quadrant",135 Salusbury Road,,Brent,http://www.produbbing.com,202014691,E09000005,Queens Park,E05013507,51.53997939,-0.206374199,524485.5368,183866.2571
Rak Studios Ltd,C/o 42 - 48 Charlbert Street. ,,,Camden,www.rakstudios.co.uk,1.00E+11,E09000007,Haverstock,E05013660,51.5454872,-0.153033668,528168.9739,184570.7592
Map Music Ltd,46 Grafton Road,Camden,Brent,Camden,http://www.mapmusic.net,5029686,E09000007,Kentish Town South,E05013664,51.54725442,-0.143326919,528837.0168,184784.3102
3Sixty Studios,"Unit 17, Sapcote Trading Centre High Road",,,Brent,www.3sixtystudios.co.uk,202040336,E09000005,Roundwood,E05013509,51.54967876,-0.241118082,522050.2539,184886.3641
Autograph Sound Recording Ltd,2 Spring Place,Camden,,Camden,http://www.autograph.co.uk,5110369,E09000007,Kentish Town South,E05013664,51.54840128,-0.145328565,528695.0002,184908.3229
Air Studios,Lyndhurst Hall Lyndhurst Road,Camden,,Camden,www.airstudios.com,5021936,E09000007,Belsize,E05013652,51.55219861,-0.168356888,527087.8199,185290.3778
Ten Eight Seven Mastering Ltd,21 Greenford Road,Harrow,,Brent,,1.00E+11,E09000005,Sudbury,E05013511,51.56050657,-0.331614468,515748.6415,185943.5728
Eastcote Studios Ltd,14 Conlan St,,,Harrow,www.eastcotestudios.co.uk,No UPRN,E09000015,Marlborough,E05013553,51.58387301,-0.341267926,515020.5377,188526.8654
Livingston Recording Studios Ltd,Unit 1 Brook Road,,,Haringey,http://www.livingstonstudios.co.uk,10003979584,E09000014,Noel Park,E05013595,51.59302732,-0.110965302,530949.3314,189931.872
Shockwave Studios Ltd,23 Crown Close,Winkfield Road,,Haringey,www.shockwavestudios.co.uk,10003972997,E09000014,Noel Park,E05013595,51.59846194,-0.102205192,531540.4221,190551.9571
Hot Money Studios,Studio A06 Mainyard Studios ,92-94 Wallis Road,,Hackney,www.hotmoneystudios.com,10008352464,E09000012,Hackney Wick,E05009374,51.544189,-0.022665068,537212.0937,184662.7536
Syncbox Post,14-15 Lambs Conduit Passage,London,,Camden,https://syncbox.tv/,5086996,E09000007,Holborn & Covent Garden,E05013662,51.519985,-0.11804079,530668.2316,181796.7209
Matrix Recording Studios,91 Peterborough Rd,,,Hammersmith and Fulham,https://www.matrix-studios.co.uk/,34068324,E09000013,Parsons Green & Sandford,E05013745,51.47049,-0.19757111,525286.3323,176153.8922
Urchin Studios,Unit 1 Stonemason’s House,Hepscott Road,,Tower Hamlets,www.urchinstudios.co.uk,No UPRN,E09000030,Bow East,E05009319,51.54292,-0.02507,537049.1519,184517.1392
Press Play Studio Ltd,Record Street ,,,Southwark,https://www.pressplaystudio.co.uk/,No UPRN,E09000028,Old Kent Road,E05011109,51.48395,-0.05548,535114.8753,177903.1326
Nelly Ben Hayoun Studios Ltd ,"Platform 1, Village Underground",54 Holywell Lane,,Hackney,https://nellyben.com/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.523626,-0.078594319,533394.1806,182272.7427
Brockley Studios,53 Arabin Road,Brockley,,Lewisham,https://brockleystudios.co.uk/,1.00E+11,E09000023,Brockley,E05013716,51.460365,-0.036367204,536512.2235,175315.952
Rogue Recording Studios,Unit 24 Wembley Stadium Business Centre,N End Rd,Wembley,Brent,https://www.roguerecordingstudios.com/,202001610,E09000005,Wembley Park,E05013516,51.56106,-0.27276369,519826.3817,186099.7708
Soho Sonic Studios ,199 Queen’s Crescent,Belsize Park,,Camden,https://www.sohosonic.com/our-services/,5127220,E09000007,Gospel Oak,E05013658,51.550739,-0.1502209,528349.2286,185159.6957
Soho Sonic Studios ,Golderbrock House, 15/19 Great Titchfield Street,,Westminster,https://www.sohosonic.com/our-services/,1.00E+11,E09000033,West End,E05013808,51.517157,-0.14028179,529133.2565,181442.802
The Umbrella Rooms,241 Shaftesbury Avenue ,,,Camden,https://www.theumbrellarooms.com/rooms,5160269,E09000007,Holborn & Covent Garden,E05013662,51.516785,-0.12653236,530088.2425,181425.7645
